,A,B,C,D
2000-01-01,-0.7531793594924839,-0.32583911344226985,-0.40581288252648595,-1.5247842670525682
2000-01-02,-1.2099790807008122,-0.4195170635237402,-1.0422240298414296,-1.868166539914154
2000-01-03,-0.951066665582396,-0.37942672254537985,-2.2280283071289384,-3.6379715783528326
2000-01-04,1.0955244898469811,-0.36777459373379806,-0.9202469574544867,-4.614724976024756
2000-01-05,0.8067517158330753,0.40943815533454053,-1.6133712115779226,-4.7967784040913175
2000-01-06,-2.02895932528994,1.3078906517137838,-0.38406080242003715,-5.289306868570694
2000-01-07,-2.3128150763458093,1.2675340479938424,-1.4066927360099744,-5.981289745185801
2000-01-08,-3.2918042806363292,-0.9635732969997053,-0.46916564789739523,-7.00703057712058
2000-01-09,-2.856981717191474,-0.7692481237705466,0.6120761581567032,-5.605671982569545
2000-01-10,-3.4059158160972434,-2.055658315263013,0.008576226315728963,-6.037808082524478
2000-01-11,-1.8453243482791624,-2.2870713060729897,1.7561031954209225,-5.103268388162917
2000-01-12,-1.3239203431840043,-3.1276294944521608,3.10675513671933,-4.7783973328768035
2000-01-13,-1.0414187666797505,-4.29796663643663,1.9789124852103142,-3.841334749116035
2000-01-14,-0.6813087175410171,-3.9420250765013747,2.5386394294461048,-4.575113250301212
2000-01-15,-0.23977364077783603,-4.757160276542752,1.9854031971453727,-5.548934844897674
2000-01-16,-1.1739233063654995,-5.022431403335776,1.5458244085401436,-6.25211894471821
2000-01-17,-1.4623480655367043,-4.244111200714311,1.3753046108719835,-6.326217317512779
2000-01-18,-1.3573194753828866,-4.729943350787005,0.7876149853658551,-6.39713401643181
2000-01-19,0.14835190937017484,-4.441109986993891,0.1608185280044997,-6.7191015739724165
2000-01-20,1.5730177749561045,-3.9891211370855535,-1.746443363887932,-6.497100432822468
2000-01-21,3.052828597277764,-2.7165688345312526,-2.401037982154412,-4.107858913959825
2000-01-22,3.4328796445466034,-1.5182650899143626,-4.390852110533356,-3.4795345944720366
2000-01-23,4.296411523003563,-1.5857921448092587,-3.683329584405733,-2.471728961505959
2000-01-24,3.7585225181383075,-2.9976303933159607,-3.1299310006610326,-3.577406683365565
2000-01-25,4.351068225112344,-1.7303082196169197,-3.6637050313240365,-3.1412846675839314
2000-01-26,4.054586147158939,-1.920121320775064,-4.521851771583557,-3.4525308388595097
2000-01-27,5.129537638140382,-2.7967446617478924,-4.331518385065959,-2.808626899995393
2000-01-28,4.892946585834296,-3.2933240006279516,-4.191089887047232,-2.7682450034015074
2000-01-29,4.755110286845665,-3.675573156411026,-3.9729222086561093,-2.5949589928073777
